,Darija,MSA
487,الله إخلف عليك أسّي بوجمعا,شكراً، السيد بوجمعة
488,كاينا شي حاجة خرا بغيتي تسوّلني عليها?,هل هناك أي شيء آخر تود أن تسألني عنه؟
489,فهمت,فهمت
490,واش هادشي خاطير أ دوكتور?,هل هو خطير، يا دكتور؟
491,"فاش كانشوف لخضر, كانشوف لحمر تاهوا",عندما أرى الأخضر، أرى الأحمر أيضًا
492,"دابا ڭولّيا, علاش جيتي تشوفني هاد لعشيا?",الآن، قل لي، لماذا جئت لتراني هذا العصر؟
493,كلات تلاتا ت الجرانات أُ جوج بربّوشات,أكلت ثلاثة ضفادع وحلزونين
494,ستمتعتي بيهوم?,هل استمتعت بها؟
495,"اللا, فلغدا.",لا، للغداء.
496,من جيهتك?,على جانبك؟
497,"مبرّع, لايحفدك",جيد جدًا، شكرًا
498,"صباح النور السي هاميد, أش كاتعاود هاد الصباح?",صباح الخير يا سيد حميد، كيف تشعر هذا الصباح؟
499,هادشي كايخلع.,هذا مخيف.
500,"فاش غانخرجو من طريق, غانمشيو ل سيكتور ديال لحاياوانات",حالما نبتعد عن الطريق، سندخل إلى أراضي الوحوش البرية
501,"عاد زيد, معا لغوروب, وقت ميتالي باش نتساطحو معا شي ديب أُلا دوبّ!",علاوة على ذلك، مع غروب الشمس، إنه الوقت المثالي للصادفة مع ذئب أو دب!
502,خاسّنا نرجعو فحالنا بلمعقول,نحن حقًا بحاجة إلى العودة
503,حدا لواد غاتكون لقاديا امينا كتر,بجانب النهر سيكون أكثر أماناً
504,كاتمرّضني,أنت تزعجني
505,أولّا?,أليس كذلك؟
506,حسن ليا مانفكّرش فيها,أفضل ألا أفكر في ذلك
507,"ردّو لبال, راه كاينين الجدورا فينمّا مشيتي",كونو حذرين، هنالك جذور في كل مكان
508,"عرفت, ماهزّيتش أحسان صبّاط لبحال هاد لبلايص",أعلم، ليست لدي أفضل الأحذية المناسبة لهذا النوع من التضاريس
509,"أها, كانحسّ بحالا تقدر تشوف لواد لتحت",آه، أشعر وكأنك تستطيع رؤية النهر في الأسفل
510,"تصنّت, كاتسمع هاد صداع?",استمع، هل تستطيع سماع ذلك الضجيج؟
511,هنا!,هنا!
512,"لاباس عليه, أولا لا?",إنه جيد، أليس كذلك؟
513,"أه, إمكن نزلو من هاد جيها",نعم، يمكننا أن نحاول الذهاب بهذا الطريق
514,"غايخسّ تخلّينا نوسلو لواد, أُ راه لواد دايز من ل ڤيلاج",يجب أن يسمح لنا بالانضمام إلى النهر، والنهر يجري باتجاه القرية
515,من جيها خرا,من ناحية أخرى
516,داك شكلاط غزال,تلك الشوكولاتة لذيذة جدًا
517,"مشا لحال, شمش بدات تاتغبر",الوقت متأخر، الشمس بدأت تغرب
518,خسّنا نسربيو!,يجب أن نسرع!
519,أنا ماكانقشبل والو فهادشي تل إتّيجاهات.,أنا ضعيف عندما يتعلق الأمر بالاتجاهات.
520,ماعرفتش أش كنّا غانديرو بلا لخاريطا,لست متأكداً مما كان بامكاننا فعله بدون الخريطة
521,"ألا كنتي غادي لشي حفلا, ماكانّصحكش ت طيّب",إذا كنت ذاهبًا إلى حفلة، لا أنصحك بالطهي
522,كاتخرج معا لعشران بزّاف هاد تاواخير?,هل تخرج مع الأصدقاء كثيرًا في الآونة الأخيرة؟
523,"لا, ماتانحسّش براسي جتيماعي أُلا واتق من نفسي فوست الناس",لا، لم أشعر بالانبساط أو الثقة بالنفس بين الناس
524,"إمكن ألا مشيت شي عوطلا مبرّعا علا برّا, جووّ مزيان أُ شيا كتاب نقراه, غانرجع منتاعش.",ربما إذا ذهبت في إجازة هادئة وجميلة في الخارج، مع طقس جيد وكتاب لطيف للقراءة، سأعود وأنا أشعر بالانتعاش.
525,أش بالّيك?,ما رأيك؟
526,كاتلعب الرياضا?,هل تمارس الرياضة؟
527,"أه, كانضنّ ڭلت ليك أنّاني كانلعب بزّاف كورا",نعم، أعتقد أنني ذكرت لك أنني لعبت كرة القدم كثيرًا
528,"أه, فهمت.",نعم، لقد فهمت.
529,كايبالّيا أناك تحطّ السبّاط فل فرّان كايبيّن علا ماشاعير قوييّا اللي مايمكنش تعبّر علا راسها بطاريقا خرا,أعتقد أن وضع الأحذية في الفرن يدل على مشاعر قوية لا يمكن التعبير عنها بطريقة أخرى
530,"مودّا هادي مادربنا الطريق, كانحسّ بحال ألا توضّرنا",لقد مضى وقت طويل منذ أن اضطررنا للانطلاق في الطريق، أشعر وكأننا ضائعون
531,عندك لخاريطا?,هل حصلت على الخريطة؟
532,"لا, سحابني كاينا عندك",لا، ظننت أن لديك إياه
533,بلّاتي نشوف فشكارتي,انتظر، سأبحث في حقيبتي
534,واخا,حسنًا.
535,فييّا الجوع تانا.,أنا جائع أيضًا.
536,باقي عندك شي حاجة مانقسّيو?,هل يوجد لديك أي شيء متبقي للأكل؟
537,إوا راه مالقيتش لخاريطا,لا أستطيع العثور على الخريطة
538,بغيتي شويا?,هل تريد القليل؟
539,أيه لايحفدك.,نعم من فضلك.
540,إمكن إلا خاسّني هير شي عوطلا مزيانا?,ربما أحتاج فقط إلى عطلة جيدة؟
541,لايعاون أسّي أبدرّاهيم,وداعاً السيد عبد الرحيم
542,"سمح ليا دوكتور, كان خسّني نشوفك فهاد لوقت لقصير",أنا آسف يا دكتور، اضطررت لرؤيتك بهذا الإخطار القصير
543,كايبالّيا بديت كانحماق!,أعتقد أنني أفقد عقلي!
544,أش واقع?,ما الذي يحدث؟
545,"إوا, هدرت معا لواليدا أُ لمرا هاد السباح, أُ من بعد حطّيت صبّاطي علا برّا",حسنًا، اتصلت بأمي وزوجتي هذا الصباح، ثم وضعت حذائي خارجًا
546,شنو اللي جعلك بغيتي تحتّ سبّاطك فلفرّان?,ما الذي جعلك ترغب في وضع حذائك في الفرن؟
547,واش هادوك كانو سبرديلات ت سپورت?,هل كانت تلك أحذية رياضية؟
548,كانو سبرديلات ت سپورت فاش كانو داخلين اللفرّان والاكين خرجو منّو بحال شي طروفا تلفاخر.,كانوا أحذية رياضية عندما دخلوا الفرن لكنهم خرجوا كتل من الفحم.
549,أُلاه ماعرفت علاش درتها.,لا أعرف لماذا فعلت ذلك.
550,عندي إحساس أنّا هاد لحبّات اللي عطيتيني واعرين نيت,أشعر أن هذه الحبوب التي أعطيتني إياها قوية جدًا
551,شحال هادي دابا باش بديتي تاخدهوم?,منذ متى بدأت بتناولها؟
552,متّافق.,أنا أوافق.
553,غاتكون شي شهر هادا دابا,لقد مضى حوالي شهر الآن
554,"كنت مكتاءب شويا, أُ ءتّرو ليا علا الداكيرا بتاريقا خايبا أُ ردّوني فيا النعاس",لقد كنت مكتئبًا جدًا، وهم يؤثرون على ذاكرتي بشكل سيئ ويجعلونني نعسانًا جدًا
555,"أودي, مومكين نتوقّعو اتار جانيبيا علا النعاس أُ الداكيرا فيعلان, والاكين باش طيّب صبّاطها هادي حاجة خرا",حسنًا، يمكننا أن نتوقع آثارًا جانبية على النوم أو الذاكرة بالفعل، ولكن طهي أحذيتها شيء آخر
556,حيت بغيتي نيت تحرڭ سبرديلتك.,لأنك أردت حقًا أن تحرق حذاءك.
557,علاياش كنتي تاتهدر نتا أُ ماماك?,عن ماذا تحدثت أنت وأمك؟
558,وا هوا راه صعيب تهدر معا لواليدا حيت عندها 96 عام أُ تقريبان صمكا,حسنًا، من الصعب التحدث إلى أمي لأنها في السادسة والتسعين من عمرها وشبه صماء
559,هادشي كايتلّف.,يصبح الأمر محيرًا.
560,"كاتعيّط عليا ب سميت خويا, أُ خسّني نغووّت أُنبدا نعاود لهدرا",تناديني باسم أخي، ويجب عليّ أن أصرخ وأكرر نفسي باستمرار
561,نشوفوك!,أراك لاحقًا!
562,أشمن ريادا تبغي تلعب?,أي رياضة تود أن تمارس؟
563,بغيت نلعب كورا,أود أن ألعب كرة القدم
564,واش كنتي كاتلعب هاد ريادا قبل?,هل هي رياضة مارستها في الماضي؟
565,لعبت شويا قبل.,لقد لعبت قليلاً في الماضي.
566,تقدر نتصحني بشي دوكتور ت الريجيم لايخلّيك?,هل يمكنك أن تنصحني بطبيب تغذية جيد من فضلك؟
567,"أيه, طابعان.",نعم، بالطبع.
568,"ف الجيها لخرا من شاريع كاين ل بيرو ديال دوكتور نابيل, طبيب ت الريجيم مومتاز",مباشرةً عبر الشارع توجد عيادة الدكتور نبيل، إنه طبيب تغذية ممتاز
569,زيد عليها أنّاهو ساهبي بزّاف,وبالإضافة إلى ذلك، هو صديق مقرب جدًا لي
570,واش أنا تانهدر معا السي خاليد?,هل أنا أتحدث مع السيد خالد؟
571,"لا, باتاتان.",لا، على الإطلاق.
572,والاكين غاليبان تانديرو لموضحيكا...,ولكننا غالبًا ما نمزح...
573,"والاكين تقدر تديرها ليه, هوا راه مولّفها",ولكن يمكنك فعل ذلك به، فهو معتاد عليه
574,قشّابتو واسعا!,لديه حس فكاهي جيد!
575,هادشي كايقتل بدّحك,ذلك مضحك جدًا
576,نشّطّيني مزيان.,لقد أسعدتني كثيرًا.
577,هاد لستيشارا كاتستاحقّ كولّا درهم التعطا فيها,كانت هذه الاستشارة تستحق كل قرش
578,أنا ناشط.,أنا سعيد.
579,"والاكين, ساراها, خسّنا نوڭفو هنا.",لكن، في الواقع، سيتوجب علينا التوقف هناك.
580,إمكن خسّك تشوف شي طبيب ديال الريجيم باش إعاونك تنضّم ماكلتك,ربما يجدر بك مراجعة طبيب تغذية لمساعدتك على تنظيم طعامك
581,هادشي علاش الناتيجا كبيرا...,لذلك النتيجة مرتفعة...
582,20 نوقطا,عشرون نقطة
583,بسّح...,صحيح...
584,أُ هادشي إقدر إكون صعيب تردّ ليه لبال,وقد يكون ذلك صعبًا للغاية لإدراكه
585,"موهيم, خلّينا نعطيوها فورصا بعدا!",حسنًا، دعونا نجرب ذلك إذًا!
586,سير نتا لووّل!,اذهب أنت أولاً!
587,سالام أ لالّا,مرحبًا سيدتي
588,ڭلس هنا,اجلس هنا
589,شوكران.,شكراً.
590,أنا عندي أمال أنّاك غاتعاونّي,أنا متفائل بأنك تستطيع مساعدتي
591,كيفاش إمكن نعاونك?,كيف يمكنني مساعدتك؟
592,كنت مفقّسّ هاد ليامات اللخرا,لقد كنت أشعر بالحزن الشديد مؤخرًا
593,واش وقعات ليك شي حاجة فشكل موءخاران?,هل حدث لك أي شيء غريب مؤخرًا؟
594,"خايبات أمال, فاشال?",خيبة أمل، فشل؟
595,"أُلّا ماكاين التا حاجة فشكل, هير روتين اللي مقلّقك?",أو لا شيء مميز، فقط الروتين الذي لا يُرضيك؟
596,"اللا, ماشي ڭاع هاكّاك.",لا، ليس حقًا.
597,هير مابقيتش كانستمتع بلحوايج اللي كان عزيز عليا نديرهوم,أنا ببساطة لم أعد أستمتع بكل الأشياء التي كنت أحب القيام بها
598,شنو اللي باغي تدير?,ماذا تود أن تفعل؟
599,ماكرهتش نلعب سپورت والاكين بحالا كانحسّ ماعنديش الطاقا,أود أن أمارس الرياضة ولكن يبدو أنه لا يوجد لدي أي طاقة
600,واش كاتاكول مزيان?,هل تتناول ما يكفي من الطعام؟
601,موحالش.,على الأرجح لا.
602,مولّف كانخطف شي لعيبات بحال شيپس أُلا بيمووات اللي كانعرف أناهوم مامزيانينش ليا,أميل إلى تناول وجبات خفيفة مثل البطاطس المقرمشة والبسكويت والتي أعلم أنها ليست جيدة لي
603,"لماكلا إقدر تكون عندها أتار كبير علا كيفاش كاتحسّ, فراسك.",يمكن أن يكون للطعام تأثير مهم جدًا على مشاعرك، أتعلم.
604,أش خسّ ندير?,ماذا يجب أن أفعل؟
605,خسّهوم إكونو قراب لبعضيياتهوم,سيحتاجون أن يكونوا قريبين جدًا من بعضهم البعض
606,إدان هادشي رابيح رابيح!,إذًا هو مكسب للطرفين!
607,فيعلان!,بالفعل!
608,"أُه, واش شفتي!",يا له من منظر! هل رأيت ذلك؟
609,غزالين,إنهم حقاً جذابون!
610,كايعجبني نشوفهوم كاعومو فلما!,أحب مشاهدتهم وهم يطفون على سطح الماء!
611,أُلا داكشي خايب بزّاف!,أم أن ذلك قاسٍ جداً؟
612,"ألّا, كايحمّقو",يا إلهي، إنهم لطيفون جدًا
613,نقدرو نبداو نفكّرو أنّانا نبدّلو لقاوانين,يمكننا أن نبدأ بالتفكير في تغيير القوانين
614,"ألا قدرنا ناكلو طرف تلخوبز فلما, ديكسّاع غاناخدو 20 نوقطا",إذا استطعنا أن نأكل قطعة خبز واحدة في الماء، فإننا نحصل على عشرين نقطة
615,مافهمتش مزيان لقانون ديالكوم اللخر.,أنا لا أفهم قاعدتك الجديدة حقًا.
616,أش كاتعني بهادشي?,ماذا تقصد بهذا؟
617,غلطّ,لقد تحدثت بشكل خاطئ
618,أُ راه كايعجبهوم توكّلهوم كيما كان لحال,وهم يحبون أن يُطعموا على أي حال
619,"تانديرو هادشي, دابا نتّاصل بصحابي لخرين",سنقوم بهذا، سأتصل بأصدقائي الآخرين
620,دابا نشوفك من بعد أُنستّفو لماكلا فاش نكون تمّا,سأراك بعد قليل ويمكننا ترتيب الطعام عندما أصل هناك
621,"خويا, واخا نسوّلك واهد سوأل عافاك?",سيدي، هل يمكنني أن أسألك سؤالاً، من فضلك؟
622,"أه, تفضّل.",نعم، من فضلك قم بذلك.
623,مافهمتش علاش جبت هير 1ء/ء0 فلمتيحان,لا أفهم لماذا حصلت على 12 من 20 في الرقابة.
624,تانضنّ كاتستاحقّ نوقات كتر بزّاف من هادشي,أعتقد أنه يستحق الكثير من النقاط أكثر من ذلك
625,علاش كاتضنّ كاتستاحقّ كتر?,لماذا تعتقد أنك تستحق أكثر؟
626,حيت كتبت 14 لصفحا,لأنني كتبت 14 صفحة
627,حطّيت أحسان جوزء فلورقا ديالي.,وضعت الجزء الأفضل في نسختي.
628,ماشي ڭاع ل أجويبا ديالك عندها عالاقا بلمووضوع,لم تكن جميع إجاباتك ذات صلة تامة
629,أجويبتك خسّهوم إكونو عندهوم عالاقا بل أسإلا اللي فيدّيك,يجب أن تكون إجاباتك متعلقة بالسؤال المطروح
630,"فهمت هادشي, والاكين كيمّا كان لحال, 1ء/ء0 ل 14 لصفحا, ماكانضنّش كافيا.",أفهم ذلك، ولكن مع ذلك، 12/20 مقابل 14 صفحة، لا أعتقد أنه كافٍ.
631,"أُلّا لمرّا الجايا غانكتب جوج صفحات, بحال عومار اللي جاب 15.",وإلا، في المرة القادمة سأرسم صفحتين، مثل عمر، الذي حصل على ١٥.
632,هادشي ماشي عاديل.,ذلك ليس عادلاً.
633,"ديما كايجيب حسن منّي, واخا ماكايكتب التا زفتا.",دائمًا ما يحصل على درجات أفضل مني، حتى لو كتب أي شيء.
634,"موهيم, هووا راه ف فرقتي!",حسنًا، هو في فريقي!
635,كايلعب ل باسكيت معاك?,هل يلعب كرة السلة معك؟
636,"كاتعرفو شخصيّان, داكشي علاش كاتفضّلو",أنت تعرفه شخصيًا، لذا تفضله
637,كايبالّيا غانهضر معا لمودير عليها.,أعتقد أنني سأتحدث إلى مدير المدرسة حول ذلك.
638,لمودير التاهووّا عوضو!,المدير أيضًا عضو!
639,غايكونو شي أساتيدا خرين اللي ماكايلعبوش لڭولف,لابد أن يكون هناك معلمون آخرون لا يلعبون الغولف
640,مانقدرش نتخيّل أُستادا شوروق كاتلعب لكورا,لا أستطيع تخيل السيدة شروق وهي تلعب كرة القدم
641,والاكين راه غاتكون كبيرا عليك بشي عشرين عام.,لكن يجب أن تكون أكبر منك بعشرين عامًا.
642,صاراحا عندكوم نفس لعمر.,حقًا نحن تقريبًا في نفس العمر.
643,واه!,حقًا؟
644,ماكنتش نفكّر فيها.,لم أكن لأظن.
645,سحابني غايكون صغر...,ظننت أنه سيكون أصغر سناً...
646,"سمح ليا, اللا.",آسف، لا.
647,كون غير درتي 15 لصفحا,لو فقط كنت قد أنجزت خمسة عشر صفحة
648,ماشي معقول!,ليس ذلك عدلاً!
649,السومعا ديالك ماغاديش التحسّن.,سمعتك لن تتحسن.
650,هادي هيا لحايات,هذه هي الحياة
651,مزيان.,حسنًا.
652,فيدلاه نعاماس,وداعًا، سيدي.
653,لايعاون,وداعاً
654,"هاك, خود تفرتيت تلخوبز.",ها هنا، خذ بعض فتات الخبز.
655,واش كاتعطيني هادشي?,هل تعرض هذا عليّ؟
656,واش أنا فاهم?,هل أفهم؟
657,طابعان!,بالطبع!
658,واش ماعرفتيهاش?,ألا تعرفه؟
659,"اللا, هادي أوّل مرّا فحياتي تانلعب هاد اللوعبا!",لا، إنها المرة الأولى في حياتي التي ألعب فيها هذه اللعبة!
660,"موراها, كنت عايش ف زاڭورا سينين هادي.",بعد ذلك، لقد كنت أعيش في زاكورة لسنوات الآن.
661,راني معووّل عليها.,أنا أعتمد عليه.
662,أُلا إمكن اللوون لموفضّال ديالك?,أو ربما لونك المفضل؟
663,كحل أُ بيض?,أسود وأبيض؟
664,هادي فيكرا مزيانا!,هذه فكرة جيدة!
665,إدان واش خسّنا نديرو ستيدعاأت هير بل كحل أُلبيض?,فهل نقوم بعمل بعض الدعوات بالأسود والأبيض فقط؟
666,"أُ نقدر نجيب شي ديكور, نفّاخات أُ شي لعيبات",ويمكنني الحصول على بعض الزينة، البالونات وأشياء اخرى
667,والاكين راه ميتالي!,ولكنه مثالي!
668,واش واخا تجي تعاونّي نڭادّو!,هل يمكنك أن تأتي لمساعدتي على إعداده!
669,"لحفلا غاتكون هاد الليلا, والاكين, ألا كنتي مسالي, غاتكون مزيانا نستاعدّو مجموعين حيت عندك بزّاف ديال ل أفكار لمزيانين",الحفلة ستكون الليلة، ولكن إذا كنت متاحًا، قد يكون من الجميل أن نستعد معًا لأن لديك الكثير من الأفكار الجيدة!
670,شكون اللي معروض?,من تمت دعوته؟
671,واش سوّلتي داك ل وستاد ل بوڭوس?,هل سألت ذلك الأستاذ الوسيم؟
672,"دابا, نتا شاخص اللوول لي تواصلت معاه",في الوقت الحالي، أنت أول شخص تواصلت معه
673,مازعمتش نسووّلو,لم أجرؤ على سؤاله
674,"أه, إوا حسن ليك تنوضي أُتعرضي علا شي رجال زوينين!",يا لك من أفضل أن تبادر وتدعو بعض الرجال الوسيمين إذًا!
675,وجّدتي شي موسيقا موناسيبا?,هل لديك بعض الموسيقى التي ستكون مناسبة؟
676,"زعمي, إقدر فاقاط إڭولّيك راه مامساليش",تشجع، كل ما يستطيع قوله هو أنه مشغول
677,ماغاضرّش,لا يمكن أن يضر
678,واخا.,يرجى تقديم الجملة التي ترغب في ترجمتها إلى اللغة العربية الفصحى.
679,دابا نسوّلو.,سأسأله.
680,"ألا كفاست, غادي إڭولّيا راه مامساليش",في أسوأ الأحوال، سيخبرني بأنه غير متاح
681,"سمح ليا, صحابني كنّا منضّمينها, واش غاتكون ناشط ألا درناها فليلا خرا?",آسف، ظننت أننا كنا ننظم ذلك، هل توافق على أن يكون في ليلة أخرى؟
682,كانضنّ كاتقصد لماكلا,أفترض أنك تقصد الطعام
683,لبلايس ديال لخدما تاهوما خاسهوم إكون فيهوم دوشات أُ بيوتا ديال تبدال,يجب على أماكن العمل أيضًا ان توفير دُشّ وغرف تغيير الملابس
684,كانعقل كنت خدّام حدا داك الراجل اللي كان فاخور أنّاهو كايضرب 15 كيلومتر بل پيكالا تال لخدما,أتذكر أنني كنت أعمل بجانب هذا الرجل الذي كان فخورًا جدًا بركوب الدراجة مسافة 15 كيلومتراً للوصول إلى العمل
685,ليلأساف كانت عاطيا منّو ريحت لعرڭ النهار كامل!!,للأسف، كان يفوح منه رائحة العرق طوال اليوم!!
686,"وايه, عندك صحّ.",نعم، أنت محق.
687,مامتءكّدش شنو كاتقصد والاكين كايبالّيا غايكونو لبوليس ف الدخلا!!,لست متأكداً مما تعنيه ولكن أعتقد أنه قد يكون هناك شرطة عند المدخل!!
688,كادّير پيكالا?,هل تركب الدراجة؟
689,"وايه, كنت كاندير بزّاف تلحوايج, والاكين مورا لكسيدا اللي يالّاه شفت, موحال غانقدر نرجع دغيا!",نعم، كنت أقوم بالعديد من الأمور، ولكن بعد الحادث الذي شاهدته للتو، لست متأكدًا من أنني سأعود قريبًا!
690,ماكانلومكش.,أنا لا ألومك.
691,غاتكون ترووّنتي نيت,يجب أن تكون مضطربًا حقًا
692,بغيتي شي كاس داتاي أخور?,هل تريد كوبًا آخر من الشاي؟
693,"أيه, مرحبا.",نعم، من فضلك.
694,شوكران.,شكراً.
695,"أنا ناشط بلمعقول هاد الليلا, غاندير شي حفلا ف الدار!",أنا سعيد جدًا الليلة، أقيم حفلة في بيتي!
696,"فراسي مشا لحال شويا علا التنضيم, والاكين... راه عيد ميلادي!",أعلم أنه قد فات الأوان بعض الشيء بالنسبة للتنظيم، لكن... إنه عيد ميلادي!
697,كاين بزّاف مايدّار واخا هاكّاك,هناك الكثير لتنظيمه على الرغم من ذلك
698,أنا فرحان قدرتي الديرها.,أنا سعيد لأنك استطعت الحضور.
699,"أه, كولشي ناضي!",نعم، لقد تم كل شيء!
700,"اللا, مازال, والاكين فيكرا مزيانا!",لا، ليس بعد، ولكنها فكرة جيدة!
701,"وايه, هادشي خايب بزّاف",نعم، هذا سيء للغاية
702,خوصوصان فلمدينا,خاصة في مدينة
703,"دازت ليه توموبيلا علا رجليه, خرج منّو الدمّ بزاف",دهست السيارة ساقه، ونزف كثيرًا
704,"أه, بصّح أنّا الصوڭان تلپيكالا خاطير فلمدينا!",نعم، من الصحيح أن ركوب الدراجات يكون عرضة للخطر في المدينة!
705,خلّينا نتمنّاو أنّاهو غايكون بيخير,لنأمل أن يكون بخير
706,لكاميووات إقدرو إكونو أسليحا قاتيلا,يمكن أن تكون الشاحنات أسلحة فتاكة
707,فخبارك?,هل تعلم؟
708,علّيسر ديالك,على يسارك!
709,مزيان.,حسنًا.
710,كانتمنّا تعرف تدير داكشي بوحدك,آمل أن تعرف كيف تفعل ذلك بنفسك
711,غانحطّ دابا أ شف,يُقدّم الآن يا شيف
712,عندهوم طالابات محدّدا ديال رڭيم,لديهم متطلبات خاصة للحمية الغدائية
713,بلا حليب أ شف,لا حليب يا شيف
714,عندنا صوص بلا حليب?,هل لدينا صلصة خالية من الحليب؟
715,كان خسّ تڭول ليا قبل,كان يجب أن تخبرني مبكرًا
716,"لا, ماعندنا صوص فابور!",لا، ليس لدينا صلصة مجانية!
717,والاكين نقدرو نصاوبو صوص بلا ملحا.,لكن يمكننا صنع صلصة بدون ملح.
718,عندك شي فيكرا كيفاش كاتصاوب صوص بلا ملحا اللي زوينا?,هل لديك أي فكرة عن كيفية صنع صلصة لذيذة بدون ملح؟
719,السموحات أ شف!,آسف الشيف!
720,أيه أ شف,نعم شيف!
721,ماغانكونش شف واعر كون كانت لملحا ضاروريا!,لن أكون طاهياً جيداً إذا كان الملح ضرورياً!
722,هادي بنتي.,تلك ابنتي.
723,واش فكّرتي تدّي لخبز ل لبطّاط,هل فكرت في أخذ خبز للبط؟
724,تفو.,اللعنة.
725,"اللا, كليتها فطريق فاش كنت جاي لهنا.",لا، لقد أكلته في الطريق إلى هنا.
726,واش شادّ شي حاجة عليها?,هل لديك أي شيء عنها؟
727,عندي هي واهد ل باكيا تل ڭارّو.,لقد حصلت للتو على علبة سجائر.
728,موحالش,على الأرجح لا
729,أنا خايف واهد شويا,أنا قلق بعض الشيء.
730,علاه ماڭلتيش ليا عندك حاياوانات ف الدار?,ألم تقل أن لديك حيوانات أليفة في المنزل؟
731,"أيه, طابعان.",نعم، بالطبع.
732,مش أُ جوج بابّاغاوات.,قط و ببغائين اثنين.
733,و أش كاتوكّلهوم?,وماذا تطعمهم؟
734,طابعان اللا!,بالطبع لا!
735,"أنا ماشي مكلّخ, راه لحاياوانات ديالو هادوك, كانوكّلهوم مزيان!",أنا لست غبيًا، إنهم حيواناتي، أطعمهم بشكل صحيح!
736,والاكين راهوم هي بطّات.,ولكنهم مجرد بط.
737,"موهيم, بالّيا مابغيتيش تدير تجريبا.",حسنًا، أرى أنك لا تريد ان تجرب.
738,"ماشي موهيم, نتمشاو ف الجردا?",لا يهم، نتمشى في الحديقة؟
739,واخا.,حسنا
740,خلّينا نعتيو التيساع ل لبطّات,دعونا نترك البط وحده.
741,إمكن لينا نمشيو نشوفو أش كايدير داك سينجاب تمّا,يمكننا أن نذهب لنرى ماذا تفعل تلك السنجاب هناك
742,ألا مابيتيش تعتيه ياكول,طالما أنك لا تحاول إطعامه
743,ماتخافش!,لا تقلق!
744,مزيانا هاد جريدا فاش تاتكون زوينا بحال هاكا,إنه جميل، هذا الحديقة، عندما تبدو جيدة هكذا
745,"خسّنا نبداو نجيبو دويرا مرّا مرّا, كاتحسّ برّاحا",يجب أن نتمشى أكثر في الخارج، إنه شعور جيد
746,"وايه, مزيان تدير شي حاجة من غير لفراجا ت تلفازا",نعم، من الجيد أن تفعل شيئًا آخر غير مشاهدة التلفاز
747,خرج إضربك شويا تلبرد,احصل على بعض الهواء النقي
748,كاينا كاندووّزو بزّاف تلوقت كانتفرّجو ف تلفازا,صحيح أننا نقضي وقتًا طويلاً في مشاهدة التلفاز
749,"كانعرفو, والاكين كانبقاو غاديين",نحن نعلم، ولكننا نستمر في المضي قدماً
750,شويا غابييّا,إنها غبية بعض الشيء
751,أش كاتقصد ب كانبقاو غاديين?,ماذا تعني بأننا نستمر في الذهاب؟
752,"أودي, كانبقاو نتفرّجو ف تلفازا واخا كانعرفو أنّانا كانضيّعو بزّاف تلوقت",حسنًا، نحن نستمر في مشاهدة التلفاز، حتى لو كنا نعلم أننا نقضي وقتًا طويلاً هناك
753,شحال تلوقت بينما يوجدو هاد طباصل اللوولين أ شف?,كم من الوقت يتبقى قبل أن يجب تقديم هذه الأطباق الأولى يا شيف؟
754,5 دقايق أ مولاي.,خمس دقائق، يا سيدي.
755,ماتحتاجش تعيّت ليا مولاي.,لا داعي أن تناديني بسيد.
756,نتا هوا شف!,أنت الرئيس!
757,إوا تلقنا.,حسنًا، أسرع.
758,ماڭاهنطيّبش شعريا صحابني التبصيل ديال روز!,لست أطهو المعكرونة، ظننت أنها كانت طبق الأرز!
759,خسّني ناخود هاد الدوا باش نتكالما فاش كانكون خدّام معاك,يجب عليّ أن آخذ هذه الحبوب لتهدئتي عندما أكون أعمل معك
760,ماعمّرنا كنّا كانصاوبو الروز.,لم نقدم الأرز قط.
761,ل خمسا تل أجيال,لخمسة أجيال
762,إلّا ألا كانت شي حرب,ما لم يكن هناك حرب
763,واش شفتو طبلا جوج?,هل رأيت الطاولة رقم اثنين؟
764,دوك الجوج سويّاح نڭالزا?,الزوجان من السياح البريطانيين
765,"موهيم, أنا يالاه خدمت ف قهوا قبل إدان ماعرفتش.",حسنًا، لقد عملت في مقهى من قبل فقط لذا لم أكن أعلم.
766,علاش كاين الروز فل پلاكار ألا ماعمّرنا خدّمناه?,لماذا يوجد أرز في الخزانة إذا كنا لا نقدمه أبدًا؟
767,واش كانتسنّاو شي حرب?,هل نتوقع حربًا؟
768,"فيكرا واعرا, دابا نبدّلها.",فكرة رائعة، سأغيرها.
769,أه شفتهوم. غايكونو كابوس.,نعم، لقد رأيتهم. سيكونون كابوسًا.
770,مايمكنش ليك تهدر بل فرانكايس أُ تسنّانا حنا نهدرو ب ل أنڭلايس.,لا يمكنك التحدث بالفرنسية وتتوقع منا أن نتحدث الإنجليزية.
771,أُ ماكايحملوش ياكلو ل بربّوش.,وهم لا يحبون أكل الحلزونات.
772,فين وصلتي ف الديسير?,أين أنت فيما يخص الحلوى؟
773,واش جاي?,هل هو قادم؟
774,"تسنّا, راه يالّاه درت لما ل شعريا.",انتظر، لقد وضعت الماء للتو من أجل المعكرونة.
775,الديسير راهوا فل فريڭو.,الحلويات في الثلاجة.
776,"دابا نخرّجهوم فاش نسالي, راه يالّاه عندي جوج تليدّين.",سأخرجهم بأسرع ما يمكن، لكن لدي يدان فقط.
